gemeinde_name,gemeinde_typ,landkreis_schluessel,gemeinde_schluessel,dach_flaeche_qm,dach_leistung_amtlich_kwp,dach_menge_amtlich_mwh,frei_flaeche_qm,frei_leistung_amtlich_kwp,bestand_csv_dach_anzahl,bestand_csv_dach_kwp,bestand_csv_balkon_anzahl,bestand_csv_balkon_kwp,bestand_csv_frei_anzahl,bestand_csv_frei_kwp,bestand_dach_kwp_gesamt,bestand_gesamt_kwp,ausschoepfung_dach_prozent
Brandenburg an der Havel,Kreisfreie Stadt,12051,12051000,3752898.6,744168.8,581828.7915,111510990.0,845962.8,2076,35096.48,1032,1208.76,20,89693.1,35096.48,125998.34,4.72
Cottbus,Kreisfreie Stadt,12052,12052000,4352996.7,863314.4,680810.4346,89736150.0,1151796.7,3041,52076.42,1292,1456.15,22,79073.25,52076.42,132605.82,6.03
Frankfurt (Oder),Kreisfreie Stadt,12053,12053000,2545593.9,505210.0,398628.919,96656700.0,3284304.7,1231,42250.87,765,866.74,14,14814.87,42250.87,57932.48,8.36
Potsdam,Kreisfreie Stadt,12054,12054000,5181779.4,1028246.4,798823.4417,102406420.0,805821.8,2793,40522.59,1420,1466.59,5,16706.32,40522.59,58695.5,3.94
Ahrensfelde,Amtsfreie Gemeinde,12060,12060005,989611.7,195796.8,155014.605,46111700.0,2122389.7,1233,13537.49,556,637.38,7,41214.41,13537.49,55389.28,6.91
Althüttendorf,Gemeinde,12060,12060012,67243.5,13293.6,10077.6929,13227050.0,0.0,46,2147.18,17,18.33,0,0.0,2147.18,2165.51,16.15
Bernau bei Berlin,Amtsfreie Stadt,12060,12060020,1779921.6,352143.6,272492.5059,63520780.0,1274633.6,1670,27577.42,920,1057.03,0,0.0,27577.42,28641.33,7.83
Biesenthal,Stadt,12060,12060024,405691.7,80187.6,60805.7528,29178310.0,349641.4,347,4379.59,189,236.26,2,2742.66,4379.59,7358.51,5.46
Breydin,Gemeinde,12060,12060034,82845.5,16389.2,12257.8233,22110310.0,162406.6,39,671.35,22,23.13,1,1499.68,671.35,2194.16,4.1
Britz,Gemeinde,12060,12060036,211514.9,41906.0,34127.1717,11764180.0,0.0,159,3959.78,56,68.64,2,8327.34,3959.78,12355.76,9.45
Chorin,Gemeinde,12060,12060045,247211.6,48872.4,36893.6658,49163070.0,0.0,181,5243.37,66,73.14,0,0.0,5243.37,5316.51,10.73
Eberswalde,Amtsfreie Stadt,12060,12060052,2019615.4,400482,314697.6282,36970330.0,110991.2,919,17345.76,419,462.43,39,112248.74,17345.76,130056.93,4.33
Friedrichswalde,Gemeinde,12060,12060068,114581.6,22653.6,16942.8046,20902830.0,0.0,67,1028.11,15,16.74,0,0.0,1028.11,1044.85,4.54
